Model,Group,N,AUC,Sensitivity,Specificity,Accuracy
LSTM,Overall,2000,0.8166,0.7204,0.7564,0.7380
LSTM,White,1537,0.8126,0.7072,0.7529,0.7306
LSTM,Black,305,0.8296,0.7602,0.7615,0.7607
LSTM,Asian,158,0.8313,0.7468,0.7848,0.7658
GRU,Overall,2000,0.8591,0.8192,0.7226,0.7720
GRU,White,1537,0.8473,0.8088,0.7098,0.7580
GRU,Black,305,0.8775,0.8316,0.7706,0.8098
GRU,Asian,158,0.9207,0.8861,0.7848,0.8354
TRANSFORMER,Overall,2000,0.7560,0.8798,0.5138,0.7010
TRANSFORMER,White,1537,0.7518,0.8957,0.4918,0.6884
TRANSFORMER,Black,305,0.7616,0.8316,0.5963,0.7475
TRANSFORMER,Asian,158,0.8292,0.8481,0.6203,0.7342
